id_registro,edad,ingresos_mensuales,monto_credito,historial_crediticio,plazo_meses,cuota_mensual,tipo_empleo,numero_dependientes,antiguedad_laboral_meses,atrasos_previos,ratio_deuda_ingreso,presion_financiera,capacidad_pago,nivel_crediticio,puntaje_riesgo_financiero,moroso,norm_edad,norm_ingresos_mensuales,norm_monto_credito,norm_historial_crediticio,norm_plazo_meses,norm_cuota_mensual,norm_numero_dependientes,norm_antiguedad_laboral_meses,norm_atrasos_previos,norm_ratio_deuda_ingreso,norm_presion_financiera,norm_capacidad_pago,norm_puntaje_riesgo_financiero
1,40,4783.46,10899.57,761.0,36,420.67,Informal,2,177,4,0.0879,0.0633,3662.79,Excelente,12.46,0,0.4314,0.6312,0.3744,0.8464,0.7143,0.1335,0.4,0.9886,1.0,0.0442,0.0214,0.6405,0.1274
2,32,2727.35,4873.61,509.0,36,797.73,Dependiente,3,6,0,0.2925,0.0496,879.62,Bajo,12.76,0,0.2745,0.2641,0.0859,0.3786,0.7143,0.4754,0.6,0.017,0.0,0.2368,0.0156,0.2881,0.1285
3,19,3754.74,5251.84,518.0,12,763.28,Dependiente,4,160,1,0.2033,0.1166,1591.46,Bajo,14.27,0,0.0196,0.4475,0.104,0.3953,0.1429,0.4441,0.8,0.892,0.25,0.1528,0.0438,0.3783,0.1342
4,49,2287.47,12479.17,656.0,12,1224.8,Independiente,3,51,2,0.5354,0.4546,12.67,Medio,78.82,1,0.6078,0.1856,0.4501,0.6515,0.1429,0.8626,0.6,0.2727,0.5,0.4655,0.1862,0.1784,0.3774
5,39,2454.3,11622.32,619.0,12,478.42,Independiente,4,131,1,0.1949,0.3946,575.88,Medio,32.11,1,0.4118,0.2154,0.4091,0.5828,0.1429,0.1858,0.8,0.7273,0.25,0.1449,0.1609,0.2497,0.2014
6,34,4127.04,7692.01,389.0,48,730.29,Independiente,3,131,0,0.177,0.0388,2346.75,Bajo,3.06,1,0.3137,0.514,0.2208,0.1559,1.0,0.4142,0.6,0.7273,0.0,0.1281,0.0111,0.4739,0.0919
7,46,2597.91,13055.07,546.0,24,469.06,Dependiente,1,33,0,0.1806,0.2094,1778.85,Bajo,12.42,0,0.549,0.241,0.4777,0.4473,0.4286,0.1773,0.2,0.1705,0.0,0.1315,0.0829,0.402,0.1272
8,28,1742.35,4437.53,477.0,12,506.91,Dependiente,3,16,2,0.2909,0.2122,185.44,Bajo,42.72,1,0.1961,0.0883,0.065,0.3192,0.1429,0.2117,0.6,0.0739,0.5,0.2353,0.0841,0.2003,0.2414
9,64,3942.72,6446.15,521.0,18,751.08,Informal,2,80,0,0.1905,0.0908,2491.64,Bajo,4.14,1,0.902,0.4811,0.1612,0.4009,0.2857,0.4331,0.4,0.4375,0.0,0.1408,0.033,0.4922,0.096
10,40,2518.17,12192.39,408.0,12,847.31,Dependiente,2,83,0,0.3365,0.4035,970.86,Bajo,48.23,0,0.4314,0.2268,0.4364,0.1912,0.1429,0.5203,0.4,0.4545,0.0,0.2782,0.1647,0.2997,0.2621
